epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3237,2.87016,4.80151,1.56737,0.77274,0.05619,0.07988,0.03746,2.63242,3.59718,1.73394,6e-05,6e-05,6e-05
2,33.5069,2.72151,3.79196,1.39909,0.58358,0.0966,0.12537,0.09007,2.56911,2.94714,1.51196,0.000128713,0.000128713,0.000128713
3,44.2883,2.41585,2.32256,1.16931,0.4666,0.17621,0.21333,0.15207,2.48581,2.58005,1.39546,0.00019604,0.00019604,0.00019604
4,54.1374,2.38317,1.9394,1.15656,0.52874,0.28091,0.26506,0.15825,2.50328,2.24286,1.29531,0.000261981,0.000261981,0.000261981
5,62.5878,2.4063,1.83256,1.12027,0.34493,0.32481,0.28702,0.20452,2.42739,2.17247,1.21473,0.000326536,0.000326536,0.000326536
6,71.8438,2.35714,1.68061,1.10725,0.33632,0.31159,0.29173,0.19365,2.6112,4.3242,1.25426,0.000389705,0.000389705,0.000389705
7,78.477,2.33846,1.66628,1.09337,0.368,0.32292,0.30035,0.19904,2.64792,3.40989,1.24303,0.000451488,0.000451488,0.000451488
8,86.0932,2.34399,1.59407,1.10046,0.49041,0.27841,0.30149,0.18761,2.71347,2.01773,1.22506,0.000511885,0.000511885,0.000511885
9,94.0577,2.29759,1.61718,1.09985,0.37385,0.29966,0.28964,0.19174,2.73399,2.92398,1.21415,0.000570896,0.000570896,0.000570896
10,101.679,2.27254,1.58175,1.06523,0.4674,0.27094,0.28866,0.18837,2.79272,3.30065,1.27906,0.000628521,0.000628521,0.000628521
11,110.671,2.29823,1.54875,1.10823,0.47017,0.30857,0.33104,0.19645,2.6288,1.77724,1.19304,0.00068476,0.00068476,0.00068476
12,115.612,2.23385,1.49298,1.09881,0.35188,0.31753,0.3128,0.18104,2.70265,1.9384,1.20327,0.000739613,0.000739613,0.000739613
13,119.358,2.30018,1.56073,1.08835,0.43587,0.28431,0.30166,0.17754,2.68564,1.89849,1.20447,0.00079308,0.00079308,0.00079308
14,125.391,2.27114,1.44773,1.06336,0.43587,0.28431,0.30166,0.17754,2.68564,1.89849,1.20447,0.000845161,0.000845161,0.000845161
15,137.179,2.2881,1.47246,1.08513,0.46713,0.34806,0.35566,0.21504,2.46567,1.92495,1.16806,0.0008614,0.0008614,0.0008614
16,143.941,2.35508,1.40516,1.05317,0.55815,0.30103,0.35786,0.19882,2.53086,1.76081,1.19877,0.0008515,0.0008515,0.0008515
17,156.366,2.32029,1.45949,1.07232,0.48301,0.34687,0.35371,0.20659,2.44994,1.71484,1.16531,0.0008416,0.0008416,0.0008416
